"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"New Zealand","NZL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","880","512","","","","","","","","","640","","","","","","","","1363","3636","","4876","2797","1654","","","","","","","","","","","","","","","","","4759","5133","4943","3635","","",
"OECD members","OED","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","4958698","4968349","4957126","4642142","4662659","4538555","4195159","3994746","3868519","3590051","2449294","2482304","2292123","2519822","2552358","2499474","2024750","1690908","1481593","1458852","1180429","1204699","1397174","1532649","1651149","1549186","1660452","1900652","1357885","1120227","1102643","1153913","1294644","1156029","1246305","1132909","1156089","1065557","1034273","1360055","1414896","1618108","1556814","1581781","1610334","1450304","1238772","1250679","",
"Oman","OMN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","52089","49433","44556","46630","","42787","42348","","42101","42378","43874","40315","43009","42453","40602","44515","45336","46540","48345","48175","46050","46560","44272","37962","38277","35164","31096","28978","27315","25805","26677","","","","","","742","","6212","3980","2938","3671","4053","2670","2669","",
"Other small states","OSS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","285935","298551","297134","293402","283921","272299","265108","261486","269954","275982","272413","262333","249781","252117","252475","248204","259758","269081","281276","299238","325998","335435","352770","357783","348417","353697","352213","355678","350938","354983","317606","307925","300538","306423","313428","326764","320535","324254","327100","321655","299219","282478","278479","296037","305389","309816","313618","303528","",
"Pakistan","PAK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2989982","2973850","2382783","2317670","2703570","2349684","2307071","2195092","2034200","2387053","2506616","2684937","2347603","2324763","1861199","2119247","",
"Panama","PAN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","33880","24043","21072","18505","","16425","17748","","14923","17889","19473","22081","24018","26016","26426","25808","25259","24559","26594","24537","24224","","","","","","","","","12556","9520","6817","2234","","1922","2651","1527","1595","3726","10253","6515","9771","10627","14535","20541","26805","","","",
"Peru","PER","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","220245","","","","","","","","","","","101203","","","","","","","","","","","","99289","","193031","","","1634","","","","","","28691","34475","34282","35758","39149","35543","35784","34787","","","","43813","18161","19410","",
"Philippines","PHL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","249032","314145","381362","279754","","273530","231607","208952","144483","33174","","","","","","","","384800","666712","","670430","676136","649650","703232","766553","885156","880104","819614","697305","","","","","272596","293502","330523","","",
"Palau","PLW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114636","","","","","","","","","","","","","","","","","","","","","","","139895","","","","115471","","",
"Poland","POL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55356","56060","60710","74531","88487","97791","103216","97121","90854","83209","70581","62227","60318","53203","49356","52235","55164","51951","","",
"Pre-demographic dividend","PRE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","11556081","11474051","11416105","11365142","11076870","10682154","10196018","10134341","10135288","10351721","10497485","10885426","11497677","12303046","13120503","13816558","14563610","15096423","15281653","15919892","16204184","16542926","16537297","17655221","16941223","17294398","17630937","17144114","16678694","15919806","14810690","14427153","14304248","14142041","13045134","13493699","13610048","14003068","13668766","13925752","14460820","14730174","15255078","15398539","15793805","",
"Puerto Rico","PRI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25692","30708","29693","28389","30030","31938","","","",
"Korea, Dem. People’s Rep.","PRK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27228","","","","","","","","","",
"Portugal","PRT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","59824","58611","","36576","30538","18103","","21036","18955","","","21319","","","","","","","8481","","","3157","","","","","","","","","","","1444","1761","","","2576","2114","3066","2884","3486","5665","8493","10380","","",
"Paraguay","PRY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","41529","","41529","","","49182","46885","45428","41730","38815","33350","28602","17444","27662","29827","31286","35313","34600","30695","26394","20567","14701","11523","10588","30612","","20228","","","12590","10243","9984","16716","19878","22663","20938","27783","34776","40219","44206","41988","41534","42943","","","","85866","","",
"West Bank and Gaza","PSE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18901","18184","23572","24624","27497","32020","36397","35766","36603","31611","27081","22511","21492","15229","18149","16329","19880","20310","15072","",
"Pacific island small states","PSS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16641","15882","13550","12741","12490","16777","12938","14408","17829","17912","13784","11949","11193","11116","10443","10284","10469","11086","11961","12234","14026","16859","20001","20308","21356","19791","21620","",
"Post-demographic dividend","PST","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","4316270","4302918","4377097","4146785","4225358","3993893","3624945","3488313","3302495","3212343","2079967","2147943","1963519","2212221","2342699","2257365","1889519","1588621","1352469","1175794","1042474","950029","1165776","1246204","1287085","1134569","1244056","1235374","1066290","1040449","1062775","1069441","1165920","1097083","1162144","963399","932224","821159","752893","1003258","1111571","1291397","1189549","1223899","1302983","1166296","962436","976213","",
"French Polynesia","PYF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","978","1064","1095","1188","","1303","861","427","185","","465","","617","904","1625","1987","2202","2714","2973","3439","5052","6028","6841","5620","","","","","760","1649","1733","162","238","75","","3807","601","","1649","2466","444","2250","4758","4689","2648","1337","673","",
"Romania","ROU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188066","128726","88490","71790","65664","34918","50590","49630","46198","30317","13094","4726","10381","22353","23617","24737","24446","26084","28823","33175","","","49302","53954","","",
"Russian Federation","RUS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119601","257493","","","","","","","","","","","221182","189602","149522","115820","","88807","91631","88981","130005","95645","92417","","",
"Rwanda","RWA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","129685","139472","153570","","151386","149307","","","","","","","","","","","","","","","","","","","","","122190","","","119463","75864","","","","","","","","","","","","","43026","60625","",
"South Asia","SAS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","14008833","14087667","13585690","12570810","12790822","12589412","12580289","12116669","13004503","13222244","13124350","12929507","13004703","12537808","12596984","12735608","12357688","13030956","12251375","11654127","11740791","12018385","12165049","11921446","11653271","11768931","11918468","12115998","12645100","12475125","11695015","12137907","12063948","11386007","9298449","7814367","6894412","5460769","6377632","7669392","6917888","7819018","6616960","6318043","6004055","5657973","5300955","5580619","",
"Saudi Arabia","SAU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","309564","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130294","50276","53163","9507","","","","","","",
"Sudan","SDN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1091167","1324452","1361710","1403046","1397811","1370854","","",
"Senegal","SEN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","270402","267886","272106","273738","273974","273145","279187","285624","253018","","270064","","308093","","336996","","","","342328","318815","309595","323154","312178","","","280257","324553","324201","312034","298676","304022","312431","315882","322610","305708","328752","333839","349750","386809","370633","",
"Singapore","SGP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Solomon Islands","SLB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9033","7434","7379","","","","","","13562","13722","13999","13302","15031","",
"Sierra Leone","SLE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","161221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33693","6751","","29492","6787","","",
"El Salvador","SLV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","105090","","","","","","","","","","","","","","","","","","","","","","","","","","","","100212","","36762","36713","29994","29524","","17569","17353","20531","19848","18943","16664","16689","19502","30671","39917","49144","54322","68692","",
"San Marino","SMR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","","","62","","","","","","",
"Somalia","SOM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","234217","273698","326383","367361","399712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257","2420","2832","5199","8034","4385","5957","5855","2423","1253","1227","2096","",
"Sub-Saharan Africa (excluding high income)","SSA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","14416551","14543687","14343830","14166783","13760692","13495177","13274753","13317966","13585186","14216275","15023541","16030470","16959931","17793147","17978098","18761340","18916882","19588515","19960490","20301657","20195865","21052311","20261498","20481602","20766773","19996272","19485761","19067805","18230554","17857806","17086558","16790859","15250870","15308202","15561387","16110248","15384453","15612425","15509364","15723895","16070662","16280598","16702941","",
"South Sudan","SSD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452477","","","","615154","","","",
"Sub-Saharan Africa","SSF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","14417155","14544456","14344625","14167576","13761598","13496248","13275696","13318809","13586011","14217130","15024276","16031110","16960702","17794022","17978956","18762112","18917541","19589157","19961070","20302158","20196346","21052755","20261782","20481633","20766960","19996689","19486464","19068106","18230741","17857997","17086719","16791076","15251073","15308403","15561582","16110358","15384488","15612425","15509364","15723895","16070662","16280639","16702983","",
"Small states","SST","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","331603","342348","337110","334567","320578","320304","318119","304711","314836","322735","327006","314774","296652","299342","300604","297097","308330","306993","322045","333923","368449","383511","401215","405985","394805","398095","400309","400147","394466","400331","362889","352546","349614","355019","356030","369246","360696","363696","362785","359047","334516","319314","318682","339382","349590","353451","355556","346310","",
"Sao Tome and Principe","STP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","178","186","","","","548","","","","","","","","","","","2067","","","162","109","","19","","1471","1350","1438","1376","","","1490","1356","1253","","465","",
"Suriname","SUR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","2021","1269","","","","","","","","","","","","","","","","","","","","","","","","","","","5512","5014","5534","3871","2958","3251","3680","3255","3173","3413","2597","2212","1330","",
"Slovak Republic","SVK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Slovenia","SVN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3885","2850","2301","1225","1640","2555","1629","1359","917","175","454","738","921","843","911","992","1154","991","1456","1642","1518","1763","","",
"Sweden","SWE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","13677","","","","","5398","4829","3630","1520","1142","","","","","","","","","973","","970","2178","10339","15604","16118","11469","3848","1103","883","873","930","1261","1289","1349","951","","",
"Eswatini","SWZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","19651","20273","20024","19313","19766","19337","19475","19434","20111","20377","","18504","18992","20677","20734","20463","21859","22550","23475","25334","24457","24798","24653","26694","27474","27086","30278","","","","","","","","","","","","","27494","21536","18342","20962","25503","24926","26225","26859","","",
"Sint Maarten (Dutch part)","SXM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","906","","","","","","","","","","","","","","580","501","481","444","","","","417","703","301","187","191","161","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","52165","","7638","","","","","6986","17302","26943","38026","49773","55175","47957","43399","35774","8463","12011","11811","14545","","","","","","105","13071","3135","","","","","","","","1395","2658","2472","2445","","","","333579","","","","","",
"Turks and Caicos Islands","TCA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","202533","","209911","","","","","","","","","","","251963","","","","","","","","","291306","265679","269011","273268","278709","259687","261109","","","","","","","","316916","","","","","","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","3461311","2472240","2076540","1805447","2109748","2113516","2966753","3943102","4999941","6479893","7679617","8602917","7047901","5384483","4899370","4286604","2155865","2184901","2351535","4203076","4636561","3707054","3562221","3226345","3260555","3303673","3187723","3463310","3227330","3176280","3083371","3052474","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","766159","821440","1019269","970448","967053","870897","805914","883760","797944","673846","672545","698603","654348","682390","656029","638482","683710","610446","591070","587875","537451","567155","537950","546651","553293","",
"Togo","TGO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","50147","52625","","","","","","27031","27176","28746","","39070","52095","72713","81830","99962","70323","73243","75202","75753","70454","","","94583","63654","33588","46401","","","","9941","","9615","447","6547","","18669","15941","","","","","","30899","","36089","33881","",
"Thailand","THA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","765853","794165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9168","21952","39548","49056","","","","","","","","","",
"Tajikistan","TJK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3728","3643","2494","3411","2958","5070","5699","11471","3512","2195","1815","1688","3135","5315","13053","15728","14849","3259","",
"Turkmenistan","TKM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","3353363","3356770","3337681","3278117","3229101","3276239","3204450","3020206","2941729","2614888","2593658","2419136","2465022","2532448","2576099","2536716","2550420","2572383","2672269","2908417","2795766","2729107","2466576","2406583","2561521","2569325","2368832","2667789","1829767","1458610","1266874","1098851","1014807","1177366","1210494","1497281","1661584","1778203","1231896","1269075","1194640","1135595","1196098","1414172","1496315","1474587","1503880","1567581","",
"Timor-Leste","TLS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30668","21601","11988","6492","7952","9591","13609","17641","21591","23377","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","2542275","2615563","2423040","2379831","2354582","2271998","2104886","2049635","2008853","2095883","1972618","2042909","2023227","2034624","1953378","2027464","2022356","1982676","2026723","2145797","1813646","1819349","2184491","2271722","2139878","2372020","2226831","2263906","2412887","2538332","2342992","1836924","1448669","1297426","1047411","1052456","1044900","803989","732129","633110","520477","626700","619557","972975","1179798","1179317","1133775","1079972","",
"Tonga","TON","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","1022","825","393","","903","241","","","","","","","","903","","304","223","","","","682","","","653","","","","","390","538","","","","","","","","","","","","","","429","","","","","",
"South Asia (IDA & IBRD)","TSA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","14008833","14087667","13585690","12570810","12790822","12589412","12580289","12116669","13004503","13222244","13124350","12929507","13004703","12537808","12596984","12735608","12357688","13030956","12251375","11654127","11740791","12018385","12165049","11921446","11653271","11768931","11918468","12115998","12645100","12475125","11695015","12137907","12063948","11386007","9298449","7814367","6894412","5460769","6377632","7669392","6917888","7819018","6616960","6318043","6004055","5657973","5300955","5580619","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","14417155","14544456","14344625","14167576","13761598","13496248","13275696","13318809","13586011","14217130","15024276","16031110","16960702","17794022","17978956","18762112","18917541","19589157","19961070","20302158","20196346","21052755","20261782","20481633","20766960","19996689","19486464","19068106","18230741","17857997","17086719","16791076","15251073","15308403","15561582","16110358","15384488","15612425","15509364","15723895","16070662","16280639","16702983","",
"Trinidad and Tobago","TTO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","7171","7972","8617","8420","7427","4868","3461","5331","9159","11597","8155","6662","7655","7778","7748","9522","7532","7090","8420","11831","10788","11381","12506","","","11051","11013","","2152","1677","1989","4725","2833","2395","4177","","1538","1105","94","590","","","","","","","","",
"Tunisia","TUN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","40281","","","","50387","","","48370","45633","36510","32134","23402","10783","","","","","","","6061","2717","3307","1336","3734","5800","13698","24431","","27325","20937","11726","","","","5034","7420","10954","8199","5256","","","","","","","","","",
"Turkey","TUR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","160262","","","","","","","","","","","","","","","","","","","","146291","168001","","140396","","31425","","","","","","","4876","3872","39030","129919","109014","138844","185910","156746","122456","122900","139962","","",
"Tuvalu","TUV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","561239","689094","750439","","930709","990729","1047119","1113901","1147920","1195893","1251719","1290346","1360995","1444420","1487505","1526005","1558878","1619743","1649663","1569273","1425337","929439","646487","516751","378824","","","","","547633","","799193","942345","1070117","","1085409","1195178","",
"Uganda","UGA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","716007","","709531","723022","","","","603403","","","","","","","","","","","","","","","","","","","","","","","358706","488820","404032","","415685","","","","","",
"Ukraine","UKR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30896","102629","98425","92784","99098","99919","100711","95296","76089","61416","55126","54107","70752","","","","",
"Upper middle income","UMC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","6505166","5698382","5369686","4699323","4154367","3908341","4623353","5615765","7011257","8609617","9531068","10146337","8360103","6192814","5700934","4736582","1898199","1915766","1838775","3816938","4570085","4040545","3473795","3577901","3583882","3584109","3647248","3825356","3771949","3602026","3701641","3824349","",
"Uruguay","URY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","21438","","","","","","","13609","10120","9061","11638","12635","13833","13578","","","","","","","","3816","","3144","873","410","","","","632","8257","3418","2466","","",
"United States","USA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","820709","616573","","","178396","149723","","366355","490552","358341","511381","","","","","","","","","","","","","","","901374","789176","779169","796422","729816","494640","","",
"Uzbekistan","UZB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81899","96462","96845","81814","71276","53492","40876","29777","23957","20817","7947","",
"St. Vincent and the Grenadines","VCT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","640","","304","","","","","","","","","","","","","","","","","","","37","","","","","","228","","178","","79","123","71","",
"Venezuela, RB","VEN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","267276","226372","180265","127111","149658","144274","166549","152083","132125","165314","129042","115160","115209","91939","107455","133079","141799","197073","245973","",
"British Virgin Islands","VGB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vanuatu","VUT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","1459","","","","","","","","3073","","","","","","","","","","261","","","","","348","","","","","","","","","","","2900","","","",
"World","WLD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","46892675","47692966","47319007","45262500","45335016","44521052","43753480","43087905","44101837","43333197","41199712","40218008","39791688","39804055","40097615","39995682","39476425","39713898","39246365","38818659","39446947","39732753","41740916","43036954","44290488","46027778","47903296","48562509","46747590","44861770","42533319","41146088","38036195","36398699","33956618","33576673","32901314","28683454","28765085","30173195","29796578","30261287","29082782","29559437","29622135","29344002","28967336","29672099","",
"Samoa","WSM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1150","","","","986","1149","1499","1059","","","","","","","","","512","870","752","","528","503","780","683","",
"Kosovo","XKX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","492643","","","","320846","278530","264749","","","320015","","217553","","161059","167193","","","247796","","",
"South Africa","ZAF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","735505","","","","","","","","","","","","","","","","","","","","","495153","","","327020","290194","","","292064","259298","309432","322032","324696","307564","306220","354046","","","","","","","","","","321581","","","",
"Zambia","ZMB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","68062","","","","74926","80616","92729","101889","106867","111926","117366","111183","106832","","108712","","135905","","","","","","219468","242601","","","294535","315849","330809","347636","325705","","215351","137319","171476","135241","","188713","229264","181030","166245","197030","","","","","",
"Zimbabwe","ZWE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200190","171665","159406","139680","182927","203031","","","","","","","","","169633","210170","","","","","",
